01000a48,00000002,000ffffe,113399
01000ad4,00000002,000ffffe,113447
01000ab0,00000002,000ffffe,113711
01000838,00000002,000ffffe,114115
010008f0,00000002,000ffffd,114589
0100091c,00000002,000ffffe,115098
01000814,00000003,000ffffd,115354
010009c0,00000002,000ffffd,115481
010008f0,00000002,000ffffd,115785
010007e8,00000006,000802b7,116181
01000a64,00000004,000ffffd,116647
01000aec,00000001,000ffffe,117150
01000ae4,00000001,000ffffe,117643
01000980,00000002,000ffffe,117891
010008dc,00000003,000ffffe,118016
010007e8,00000006,000802b8,118321
010008fc,00000002,000ffffe,118708
01000998,00000005,000ffffd,118907
010009b0,00000023,000803ba,119307
010007f4,00000002,000ffffd,119699
0100096c,0000000f,000802ba,119925
010007e8,00000006,000802bb,120023
01000838,00000002,000ffffe,120073
010007d8,00000002,000ffffe,120340
01000a18,00000002,000ffffe,120474
01000ae4,00000001,000ffffe,120812
01000ae0,0000000b,000801b2,120992
01000aec,00000001,000ffffe,121307
01000a98,00000004,000ffffd,121473
01000954,00000004,000ffffd,121868
010007f4,00000002,000ffffd,122023
01000998,00000005,000ffffd,122105
01000954,00000004,000ffffd,122144
0100087c,0000002e,000005f1,122446
010007ec,00000002,000ffffe,122804
01000884,00000002,000ffffe,123277
010007f4,00000002,000ffffd,123633
010008a4,00000002,000ffffe,123693
01000858,00000004,000ffffe,123965
01000a64,00000004,000ffffd,124372
01000a18,00000002,000ffffe,124574
01000ac8,00000007,000ffffd,124953
010007a0,00000ed3,00080142,125346
010008bc,00000002,000ffffe,125375
010007f4,00000002,000ffffd,125589
0100087c,0000002e,000005f1,126012
010008d4,00000003,000ffffd,126159
01000970,00000002,000ffffe,126493
010008a4,00000002,000ffffe,126661
010008bc,00000002,000ffffe,126985
010008ec,00000eca,000800e3,127298
010009b4,00000001,000ffffe,127418
01000998,00000005,000ffffd,127879
01000a30,00000004,000ffffd,128107
01000a38,00000002,000ffffe,128220
01000a44,00000013,000802c2,128295
01000a6c,00000002,000ffffe,128547
01000a80,00000002,000ffffe,128682
01000a18,00000002,000ffffe,128750
01000a38,00000002,000ffffe,129056
010008dc,00000003,000ffffe,129450
01000978,00000002,000ffffd,129646
010009c0,00000002,000ffffd,129745
010007d0,00000004,000ffffd,129797
01000978,00000002,000ffffd,130060
0100093c,00000002,000ffffe,130193
010007fc,00000002,000ffffe,130260
010009b0,00000023,000803c4,130327
010008bc,00000002,000ffffe,130551
01000850,00000003,000ffffd,130681
0100093c,00000002,000ffffe,130745
0100089c,00000004,000ffffd,130780
01000970,00000002,000ffffe,130795
010009c8,00000002,000ffffe,130804
010007fc,00000002,000ffffe,130812
010007e8,00000006,000802c5,130813
01000820,00000003,000ffffe,130815
010007f4,00000002,000ffffd,131087
010007ec,00000002,000ffffe,131224
01000914,00000005,000ffffd,131296
0100096c,0000000f,000802c6,131359
0100087c,0000002e,000005f1,131372
010009a4,00000002,000ffffe,131627
010009bc,00000002,000ffffe,131768
01000ae0,0000000b,0008021b,131848
01000ac8,00000007,000ffffd,131880
01000a64,00000004,000ffffd,132135
01000af0,00000001,000ffffe,132734
01000a64,00000004,000ffffd,132838
01000af0,00000001,000ffffe,132886
01000a6c,00000002,000ffffe,132913
010008d4,00000003,000ffffd,133199
01000914,00000005,000ffffd,133344
01000814,00000003,000ffffd,133414
010009a4,00000002,000ffffe,133721
010008a4,00000002,000ffffe,134115
0100091c,00000002,000ffffe,134584
0100095c,00000002,000ffffe,134819
01000858,00000004,000ffffe,134939
01000978,00000002,000ffffd,135236
010007d8,00000002,000ffffe,135386
01000af0,00000001,000ffffe,135732
01000a38,00000002,000ffffe,135907
01000a6c,00000002,000ffffe,136234
01000a78,00000ec9,00080194,136317
01000af0,00000001,000ffffe,136397
01000aec,00000001,000ffffe,136719
010009c0,00000002,000ffffd,137153
01000930,00000001,000ffffe,137369
010007d0,00000004,000ffffd,137481
01000830,00000002,000ffffd,137534
01000998,00000005,000ffffd,137565
010007d8,00000002,000ffffe,137848
010007e8,00000006,000802cc,138267
01000914,00000005,000ffffd,138474
01000970,00000002,000ffffe,138847
010007e8,00000006,000802ce,139279
01000a98,00000004,000ffffd,139731
01000ad4,00000002,000ffffe,140228
01000aec,00000001,000ffffe,140477
0100092c,0000000b,000803ce,140852
